"","e","n","elev"
"211",319108.395659951,5222717.89614575,0
"212",319150.10772997,5222714.95647514,0
"213",319204.304951621,5222735.08043299,0
"214",319239.801189421,5222711.46877598,0
"215",319241.667410272,5222680.98118236,0
"216",319248.514381879,5222653.93707427,0
"217",319262.976071686,5222621.74985863,0
"218",319298.999900062,5222598.78030591,0
"219",319308.007043303,5222544.22682722,0
"220",319290.948521401,5222507.7322931,0
"221",319294.160306449,5222469.7096245,0
"222",319258.180156195,5222439.00581824,0
"223",319241.42186661,5222429.08490616,0
"224",319244.813787406,5222407.00637456,0
"225",319241.522528175,5222368.92796249,0
"226",319225.111535005,5222343.7046782,0
"227",319206.063241968,5222315.27020691,0
"228",319192.352728965,5222310.37055823,0
"229",319148.29674679,5222313.07775029,0
"230",319122.785999904,5222292.45561021,0
"231",319107.660347128,5222254.38320414,0
"232",319103.66805446,5222223.31399686,0
"233",319104.662933084,5222219.28362542,0
"234",319104.302814065,5222187.39495322,0
"235",319093.981185618,5222148.61913628,0
"236",319094.214922723,5222146.28282451,0
"237",319089.46470478,5222128.70521894,0
"238",319057.536629596,5222134.38560875,0
"239",319055.720580399,5222134.79528925,0
"240",319029.654576632,5222152.8546406,0
"241",319014.197677743,5222189.07273045,0
"242",319004.830094927,5222211.73802018,0
"243",318990.428221304,5222249.24026772,0
"244",318975.609319839,5222261.33685315,0
"245",318947.023240596,5222275.01674435,0
"246",318946.559097037,5222291.48687845,0
"247",318930.635093772,5222332.37701847,0
"248",318927.420146631,5222358.6018205,0
"249",318925.373682001,5222373.14531055,0
"250",318909.910585887,5222385.76772514,0
"251",318880.970805411,5222391.15435215,0
"252",318837.799749859,5222414.59435759,0
"253",318759.886890274,5222436.35686054,0
"254",318702.464643202,5222407.06488984,0
"255",318668.767724249,5222371.27896647,0
"256",318649.899496872,5222358.78926877,0
"257",318636.182342153,5222330.2944515,0
"258",318625.746732014,5222304.48465381,0
"259",318584.727677456,5222268.87105185,0
"260",318539.904073607,5222249.67695554,0
"261",318509.088058201,5222250.15850084,0
"262",318457.758326599,5222219.11150539,0
"263",318415.218397401,5222194.83530385,0
"264",318405.424040126,5222156.70216206,0
"265",318381.925802504,5222137.26460625,0
"266",318348.178845024,5222131.55670402,0
"267",318326.730300859,5222109.37316526,0
"268",318308.209473162,5222081.58146126,0
"269",318307.498556893,5222053.19741206,0
"270",318295.891329114,5222027.2713266,0
"271",318264.955087525,5222017.12326896,0
"272",318239.997684474,5222018.18603204,0
"273",318217.026609667,5221999.39038173,0
"274",318173.811922833,5221977.36907913,0
"275",318146.390639544,5221967.56972327,0
"276",318125.29561869,5221953.67918305,0
"277",318108.947768592,5221945.56852482,0
"278",318096.933137462,5221929.62970928,0
"279",318084.915269478,5221901.893304,0
"280",318072.546883253,5221877.66133286,0
"281",318049.752857346,5221863.01246958,0
"282",318024.438474514,5221843.98450377,0
"283",318014.179978445,5221822.32139682,0
"284",317998.820662586,5221786.5853149,0
"285",317988.325260807,5221755.46088131,0
"286",317962.366661745,5221736.95886882,0
"287",317946.780141815,5221727.15422624,0
"288",317927.498252849,5221701.05656589,0
"289",317910.910405243,5221671.68698261,0
"290",317913.597998543,5221644.81980597,0
"291",317913.070550551,5221644.1776047,0
"292",317898.652520454,5221622.6914873,0
"293",317876.379530232,5221585.08931558,0
"294",317859.791586264,5221555.7194165,0
"295",317844.104935962,5221529.46654547,0
"296",317837.535344775,5221500.50110615,0
"297",317834.092664073,5221469.43764268,0
"298",317828.321121016,5221442.45410104,0
"299",317811.5148276,5221415.70232572,0
"300",317799.860149605,5221392.08627609,0
"301",317787.876963084,5221374.65257836,0
"302",317787.233433655,5221373.84910512,0
"303",317767.83279767,5221363.63571527,0
"304",317743.700456444,5221333.50546345,0
"305",317735.673191634,5221307.00172811,0
"306",317720.888825351,5221272.06139712,0
"307",317704.712497091,5221259.28112903,0
"308",317663.962863276,5221209.8556262,0
"309",317626.47882842,5221161.40718138,0
"310",317615.792806031,5221135.70424495,0
"311",317615.552328178,5221134.57993175,0
"312",317614.912176258,5221130.48440891,0
"313",317600.917115646,5221111.36285028,0
"314",317571.69760145,5221093.83456027,0
"315",317549.567041172,5221075.26831348,0
"316",317524.62863404,5221045.77971549,0
"317",317526.745438355,5221023.70057311,0
"318",317533.539652726,5220995.92437137,0
"319",317521.796931245,5220979.61484956,0
"320",317521.475171759,5220979.2131165,0
"321",317505.241222154,5220944.11085003,0
"322",317488.088646935,5220901.50557688,0
"323",317478.469387244,5220856.5327656,0
"324",317484.210273111,5220834.85811692,0
"325",317482.299954894,5220812.69536232,0
"326",317471.851045808,5220791.40876145,0
"327",317445.534129209,5220770.91194829,0
"328",317425.808329829,5220763.5888272,0
"329",317408.172314168,5220760.52302077,0
"330",317390.041817816,5220768.37678324,0
